2020-02-16 18:04:10,628 INFO A new socket has been initiated: <socket.socket fd=960, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('0.0.0.0', 5008)>
2020-02-16 18:04:10,628 INFO A new socket has been initiated: <socket.socket fd=864, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('127.0.0.1', 5011)>
2020-02-16 18:04:10,628 INFO A new socket has been initiated: <socket.socket fd=860, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('127.0.0.1', 5015)>
2020-02-16 18:09:25,800 INFO A new socket has been initiated: <socket.socket fd=688, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('0.0.0.0', 5008)>
2020-02-16 18:09:25,800 INFO A new socket has been initiated: <socket.socket fd=952, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('127.0.0.1', 5011)>
2020-02-16 18:09:25,800 INFO A new socket has been initiated: <socket.socket fd=716, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('127.0.0.1', 5015)>
2020-02-16 18:09:57,985 ERROR The packet '[ #13. Sender: CC, Company: 1, Receiver: Soldier, Message Type: Move Order, Message: || Company: 1, ID: 1, MoveTo Location: ((7.551013536265069, 10.260791972523403)) || ]' didn't reached to Field ('127.0.0.1', 5007)
2020-02-16 18:18:57,245 INFO A new socket has been initiated: <socket.socket fd=724, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('0.0.0.0', 5008)>
2020-02-16 18:18:57,245 INFO A new socket has been initiated: <socket.socket fd=992, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('127.0.0.1', 5011)>
2020-02-16 18:18:57,245 INFO A new socket has been initiated: <socket.socket fd=1000, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('127.0.0.1', 5015)>
2020-02-16 18:23:07,306 INFO A new socket has been initiated: <socket.socket fd=488, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('0.0.0.0', 5008)>
2020-02-16 18:23:07,306 INFO A new socket has been initiated: <socket.socket fd=960, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('127.0.0.1', 5011)>
2020-02-16 18:23:07,306 INFO A new socket has been initiated: <socket.socket fd=1028, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=('127.0.0.1', 5015)>
